,number_of_places_2500m,number_of_places_1000m,number_of_places_500m
1412,58,7,5
1413,73,8,1
1414,7,1,0
1415,9,0,0
1416,58,11,1
1417,0,0,0
1418,3,2,1
1419,72,13,3
1420,12,0,0
1421,21,2,0
1422,0,0,0
1423,57,11,1
1424,52,11,6
1425,25,3,0
1426,8,0,0
1427,46,3,2
1428,1,0,0
1429,36,8,2
1430,3,0,0
1431,7,2,0
1432,10,1,0
1433,8,1,0
1434,11,1,0
1435,64,10,0
1436,2,0,0
1437,72,23,5
1438,66,13,5
1439,8,1,1
1440,2,0,0
1441,7,1,0
1442,15,4,0
1443,65,11,6
1444,49,8,1
1445,67,10,1
1446,7,1,0
1447,68,12,2
1448,1,0,0
1449,79,13,3
1450,53,8,1
1451,12,1,0
1452,71,12,1
1453,66,15,3
1454,67,11,1
1455,66,9,2
1456,65,11,5
1457,37,11,1
1458,36,4,0
1459,67,10,1
1460,55,9,4
1461,11,0,0
1462,60,11,3
1463,8,0,0
1464,46,10,3
1465,26,4,2
1466,22,5,1
1467,38,6,1
1468,5,0,0
1469,53,11,2
1470,11,2,1
1471,0,0,0
1472,2,0,0
1473,58,6,0
1474,3,0,0
1475,36,6,0
1476,55,10,5
1477,64,10,3
1478,58,7,5
1479,78,17,4
1480,41,2,0
1481,6,1,0
1482,6,0,0
1483,52,10,3
1484,5,1,1
1485,6,1,0
1486,1,0,0
1487,23,2,0
1488,16,3,1
1489,1,0,0
1490,10,0,0
1491,21,3,1
1492,15,4,0
1493,5,0,0
1494,0,0,0
1495,0,0,0
1496,62,11,3
1497,64,9,2
1498,0,0,0
1499,1,1,0
1500,4,0,0
1501,68,11,4
1502,0,0,0
1503,9,2,0
1504,20,2,1
1505,0,0,0
1506,0,0,0
1507,16,2,1
1508,55,4,2
1509,64,11,3
1510,16,4,2
1511,16,2,1
1512,67,16,5
1513,68,15,5
1514,1,1,1
1515,21,4,0
1516,9,1,0
1517,0,0,0
1518,15,2,1
1519,18,2,0
1520,17,3,0
1521,2,0,0
1522,5,0,0
1523,5,2,0
1524,41,5,1
1525,18,3,3
1526,2,0,0
1527,7,1,0
1528,0,0,0
1529,59,10,4
1530,40,1,0
1531,14,4,0
1532,1,0,0
1533,36,1,0
1534,17,8,0
1535,63,15,2
1536,59,6,0
1537,72,25,7
1538,1,0,0
1539,3,0,0
1540,79,12,4
1541,49,9,5
1542,68,8,3
1543,25,5,0
1544,13,2,0
1545,4,0,0
1546,75,8,1
1547,1,0,0
1548,18,2,2
1549,2,0,0
1550,21,2,1
1551,20,4,4
1552,42,6,1
1553,5,0,0
1554,0,0,0
1555,1,0,0
1556,13,5,2
1557,5,2,1
1558,35,0,0
1559,13,1,1
1560,21,2,0
1561,0,0,0
1562,3,0,0
1563,59,8,4
1564,8,3,0
1565,64,15,2
1566,50,8,2
1567,1,0,0
1568,20,1,0
1569,11,1,0
1570,4,1,0
1571,0,0,0
1572,1,0,0
1573,8,1,0
1574,44,12,4
1575,2,0,0
1576,6,2,0
1577,15,3,0
1578,2,0,0
1579,13,1,0
1580,13,1,0
1581,9,0,0
1582,19,2,1
1583,9,1,0
1584,44,7,0
1585,11,0,0
1586,9,1,1
1587,7,1,0
1588,27,4,0
1589,47,5,1
1590,40,3,2
1591,13,2,0
1592,67,13,4
1593,3,0,0
1594,12,0,0
1595,6,2,2
1596,4,0,0
1597,16,6,2
1598,15,5,2
1599,3,0,0
1600,26,9,0
1601,5,0,0
1602,10,2,0
1603,14,3,0
1604,67,13,1
1605,9,2,0
1606,51,12,1
1607,10,5,2
1608,58,7,0
1609,4,0,0
1610,56,11,5
1611,12,1,0
1612,70,9,3
1613,38,9,1
1614,40,1,0
1615,60,11,1
1616,9,0,0
1617,31,0,0
1618,5,2,1
1619,0,0,0
1620,35,11,0
1621,34,11,0
1622,9,2,0
1623,0,0,0
1624,65,9,2
1625,75,20,5
1626,49,6,1
1627,4,0,0
1628,63,12,3
1629,74,21,6
